column_name,type,min,max,options,default,description
gender,category,,,1|2,2,1 = Male; 2 = Female
age,category,,,1|2|3,2,1 = 20–39 years; 2 = 40–59 years; 3 = 60+ years
Race,category,,,1|2|3|4|5,3,1 = Mexican American; 2 = Other Hispanic; 3 = Non-Hispanic White; 4 = Non-Hispanic Black; 5 = Other race (incl. multiracial)
Marital status,category,,,1|2|3|4|5|6,1,1 = Married; 2 = Widowed; 3 = Divorced; 4 = Separated; 5 = Never married; 6 = Living with partner
alcohol,category,,,0|1,0,0 = No; 1 = Yes
smoke,category,,,0|1,0,0 = No; 1 = Yes
sleep disorder,category,,,1|2,2,1 = Yes; 2 = No
Health Insurance,category,,,1|2,1,1 = Yes; 2 = No
diabetes,category,,,0|1,0,0 = No; 1 = Yes
hypertension,category,,,0|1,0,0 = No; 1 = Yes
high cholesterol,category,,,0|1,0,0 = No; 1 = Yes
Body Mass Index,category,,,1|2|3|4,2,1 = Underweight (<18.5); 2 = Normal (18.5–24.9); 3 = Overweight (25–29.9); 4 = Obese (≥30)
sleep time,number,1,16,,7,Hours of sleep per night
Waist Circumference,number,50,180,,90.0,Waist circumference (cm)
Systolic blood pressure,number,70,260,,120,Systolic blood pressure (mm Hg)
Diastolic blood pressure,number,30,130,,80,Diastolic blood pressure (mm Hg)
Fasting Glucose,number,2.0,30.0,,5.0,Fasting plasma glucose (mmol/L)
Glycohemoglobin,number,3.5,18.0,,5.7,HbA1c — glycohemoglobin (%)
energy,number,400,6000,,2000,Total energy intake — 24-hr recall (kcal/day)
protein,number,5,280,,60.0,Protein intake — 24-hr recall (g/day)
Carbohydrate,number,5,700,,250.0,Carbohydrate intake — 24-hr recall (g/day)
Dietary fiber,number,1,70,,25.0,Dietary fiber — 24-hr recall (g/day)
Total saturated fatty acids,number,0.5,100,,20.0,Saturated fat — 24-hr recall (g/day)
Total monounsaturated fatty acids,number,0.5,100,,25.0,Monounsaturated fat — 24-hr recall (g/day)
Total polyunsaturated fatty acids,number,0.5,75,,15.0,Polyunsaturated fat — 24-hr recall (g/day)
Potassium,number,200,8000,,3500,Potassium intake — 24-hr recall (mg/day)
Sodium,number,300,12000,,2300,Sodium intake — 24-hr recall (mg/day)
