fold,threshold,C,l1_ratio,class_weight,clipped_values,recall,precision,f1,roc_auc,accuracy
1,0.3,0.1,0.5,none,1872,0.0,0.0,0.0,0.6889150634733674,0.9218241042345277
2,0.3,0.1,0.5,none,1859,0.0,0.0,0.0,0.6920231325924011,0.9207383279044516
3,0.3,0.1,0.5,none,1883,0.0,0.0,0.0,0.6537057379167743,0.9196525515743756
4,0.3,0.1,0.5,none,1912,0.013888888888888888,1.0,0.0273972602739726,0.6251801624737945,0.9228260869565217
5,0.3,0.1,0.5,none,1895,0.0,0.0,0.0,0.6930686582809225,0.9206521739130434
1,0.3,0.1,0.5,balanced,1872,0.9444444444444444,0.10134128166915052,0.18304172274562583,0.6970455437769925,0.34093376764386535
2,0.3,0.1,0.5,balanced,1859,0.9178082191780822,0.09970238095238096,0.17986577181208055,0.7080317911605065,0.33659066232356133
3,0.3,0.1,0.5,balanced,1883,0.9041095890410958,0.09720176730486009,0.17553191489361702,0.6557411475833549,0.3268186753528773
4,0.3,0.1,0.5,balanced,1912,0.8472222222222222,0.09037037037037036,0.16331994645247658,0.6335331498951782,0.32065217391304346
5,0.3,0.1,0.5,balanced,1895,0.9166666666666666,0.0944206008583691,0.17120622568093385,0.6969503406708595,0.30543478260869567
1,0.3,0.1,0.5,"0:1.0,1:0.5",1872,0.0,0.0,0.0,0.6789850804868474,0.9218241042345277
2,0.3,0.1,0.5,"0:1.0,1:0.5",1859,0.0,0.0,0.0,0.6883884724735073,0.9207383279044516
3,0.3,0.1,0.5,"0:1.0,1:0.5",1883,0.0,0.0,0.0,0.6517026363401396,0.9207383279044516
4,0.3,0.1,0.5,"0:1.0,1:0.5",1912,0.0,0.0,0.0,0.6261956236897276,0.9217391304347826
5,0.3,0.1,0.5,"0:1.0,1:0.5",1895,0.0,0.0,0.0,0.690251572327044,0.9217391304347826
1,0.3,0.1,0.5,"0:1.0,1:0.75",1872,0.0,0.0,0.0,0.6841218426907474,0.9218241042345277
2,0.3,0.1,0.5,"0:1.0,1:0.75",1859,0.0,0.0,0.0,0.6901008012406307,0.9207383279044516
3,0.3,0.1,0.5,"0:1.0,1:0.75",1883,0.0,0.0,0.0,0.6526072628586198,0.9207383279044516
4,0.3,0.1,0.5,"0:1.0,1:0.75",1912,0.0,0.0,0.0,0.6256551362683438,0.9217391304347826
5,0.3,0.1,0.5,"0:1.0,1:0.75",1895,0.0,0.0,0.0,0.6918730345911949,0.9217391304347826
1,0.3,0.1,0.5,"0:1.0,1:1.5",1872,0.05555555555555555,0.2222222222222222,0.08888888888888889,0.6935937704488941,0.9109663409337676
2,0.3,0.1,0.5,"0:1.0,1:1.5",1859,0.0273972602739726,0.2222222222222222,0.04878048780487805,0.6960293357456707,0.9153094462540716
3,0.3,0.1,0.5,"0:1.0,1:1.5",1883,0.0273972602739726,0.15384615384615385,0.046511627906976744,0.653043422072887,0.9109663409337676
4,0.3,0.1,0.5,"0:1.0,1:1.5",1912,0.041666666666666664,0.14285714285714285,0.06451612903225806,0.6270800576519916,0.9054347826086957
5,0.3,0.1,0.5,"0:1.0,1:1.5",1895,0.027777777777777776,0.2222222222222222,0.04938271604938271,0.6943953092243187,0.9163043478260869
1,0.3,0.1,0.5,"0:1.0,1:2.0",1872,0.125,0.16363636363636364,0.14173228346456693,0.6956713780918727,0.8816503800217155
2,0.3,0.1,0.5,"0:1.0,1:2.0",1859,0.0958904109589041,0.1794871794871795,0.125,0.7001163091238046,0.8935939196525515
3,0.3,0.1,0.5,"0:1.0,1:2.0",1883,0.0958904109589041,0.1346153846153846,0.112,0.6531888084776428,0.8794788273615635
4,0.3,0.1,0.5,"0:1.0,1:2.0",1912,0.1388888888888889,0.16666666666666666,0.15151515151515152,0.6286687631027255,0.8782608695652174
5,0.3,0.1,0.5,"0:1.0,1:2.0",1895,0.18055555555555555,0.2708333333333333,0.21666666666666667,0.6944772012578617,0.8978260869565218
1,0.3,0.1,0.5,"0:1.0,1:3.0",1872,0.2916666666666667,0.13725490196078433,0.18666666666666668,0.6976181128124591,0.8013029315960912
2,0.3,0.1,0.5,"0:1.0,1:3.0",1859,0.3287671232876712,0.1437125748502994,0.2,0.7041871284569656,0.7915309446254072
3,0.3,0.1,0.5,"0:1.0,1:3.0",1883,0.2465753424657534,0.1111111111111111,0.15319148936170213,0.6542872835357973,0.7839305103148752
4,0.3,0.1,0.5,"0:1.0,1:3.0",1912,0.3055555555555556,0.12716763005780346,0.17959183673469387,0.6299954140461216,0.7815217391304348
5,0.3,0.1,0.5,"0:1.0,1:3.0",1895,0.3333333333333333,0.15894039735099338,0.21524663677130046,0.6951978511530399,0.8097826086956522
1,0.3,0.1,0.5,"0:1.0,1:4.0",1872,0.5138888888888888,0.13857677902621723,0.2182890855457227,0.6974381625441696,0.7122692725298588
2,0.3,0.1,0.5,"0:1.0,1:4.0",1859,0.5205479452054794,0.14559386973180077,0.2275449101796407,0.7055925303696045,0.7198697068403909
3,0.3,0.1,0.5,"0:1.0,1:4.0",1883,0.410958904109589,0.11450381679389313,0.1791044776119403,0.6546265184802275,0.7014115092290988
4,0.3,0.1,0.5,"0:1.0,1:4.0",1912,0.4166666666666667,0.10204081632653061,0.16393442622950818,0.6308470911949686,0.6673913043478261
5,0.3,0.1,0.5,"0:1.0,1:4.0",1895,0.5694444444444444,0.14855072463768115,0.23563218390804597,0.6957055817610063,0.7108695652173913
1,0.3,0.1,0.5,"0:1.0,1:6.0",1872,0.6805555555555556,0.11722488038277512,0.2,0.6978634995419447,0.5743756786102063
2,0.3,0.1,0.5,"0:1.0,1:6.0",1859,0.7671232876712328,0.13053613053613053,0.22310756972111553,0.7060933057637632,0.5765472312703583
3,0.3,0.1,0.5,"0:1.0,1:6.0",1883,0.7397260273972602,0.12442396313364056,0.21301775147928995,0.6551272938743861,0.5667752442996743
4,0.3,0.1,0.5,"0:1.0,1:6.0",1912,0.6527777777777778,0.10262008733624454,0.17735849056603772,0.6324030398322851,0.5260869565217391
5,0.3,0.1,0.5,"0:1.0,1:6.0",1895,0.75,0.12471131639722864,0.21386138613861386,0.6972779088050314,0.5684782608695652
1,0.3,0.1,0.5,"0:1.0,1:8.0",1872,0.8472222222222222,0.11317254174397032,0.19967266775777415,0.6973400078523754,0.46905537459283386
2,0.3,0.1,0.5,"0:1.0,1:8.0",1859,0.8904109589041096,0.12126865671641791,0.2134646962233169,0.7060286895838718,0.4799131378935939
3,0.3,0.1,0.5,"0:1.0,1:8.0",1883,0.8356164383561644,0.11275415896487985,0.1986970684039088,0.6547719048849832,0.46579804560260585
4,0.3,0.1,0.5,"0:1.0,1:8.0",1912,0.8194444444444444,0.10554561717352415,0.18700475435816163,0.633172824947589,0.4423913043478261
5,0.3,0.1,0.5,"0:1.0,1:8.0",1895,0.8194444444444444,0.1088560885608856,0.19218241042345277,0.6974908280922432,0.4608695652173913
