# Class-Weight Sweep (Current Logistic Setup, 5-fold Stratified CV)

```text
class_weight  mean_recall  std_recall  mean_precision  std_precision  mean_f1  std_f1  mean_roc_auc  std_roc_auc  mean_accuracy  std_accuracy  balanced_score  is_best
    balanced       0.9061      0.0360          0.0966         0.0044   0.1746  0.0077        0.6783       0.0320         0.3261        0.0140          0.4753     True
 0:1.0,1:8.0       0.8424      0.0293          0.1123         0.0059   0.1982  0.0100        0.6778       0.0320         0.4636        0.0138          0.4659    False
 0:1.0,1:6.0       0.7180      0.0489          0.1199         0.0108   0.2055  0.0177        0.6778       0.0322         0.5625        0.0207          0.4323    False
 0:1.0,1:4.0       0.4863      0.0696          0.1299         0.0205   0.2049  0.0315        0.6768       0.0325         0.7024        0.0206          0.3649    False
 0:1.0,1:3.0       0.3012      0.0350          0.1356         0.0179   0.1869  0.0233        0.6763       0.0325         0.7936        0.0119          0.3062    False
 0:1.0,1:2.0       0.1272      0.0352          0.1830         0.0517   0.1494  0.0406        0.6744       0.0319         0.8862        0.0089          0.2562    False
 0:1.0,1:1.5       0.0360      0.0126          0.1927         0.0406   0.0596  0.0179        0.6728       0.0313         0.9118        0.0043          0.2084    False
        none       0.0028      0.0062          0.2000         0.4472   0.0055  0.0123        0.6706       0.0302         0.9211        0.0012          0.1863    False
0:1.0,1:0.75       0.0000      0.0000          0.0000         0.0000   0.0000  0.0000        0.6689       0.0289         0.9214        0.0006          0.1338    False
 0:1.0,1:0.5       0.0000      0.0000          0.0000         0.0000   0.0000  0.0000        0.6671       0.0276         0.9214        0.0006          0.1334    False
```
