fold,threshold,C,l1_ratio,class_weight,clipped_values,recall,precision,f1,roc_auc,accuracy
1,0.3,0.01,0.2,none,1872,0.0,0.0,0.0,0.6718688653317627,0.9218241042345277
2,0.3,0.01,0.2,none,1859,0.0,0.0,0.0,0.6990016800206772,0.9207383279044516
3,0.3,0.01,0.2,none,1883,0.0,0.0,0.0,0.664335099508917,0.9207383279044516
4,0.3,0.01,0.2,none,1912,0.0,0.0,0.0,0.6334348794549267,0.9217391304347826
5,0.3,0.01,0.2,none,1895,0.0,0.0,0.0,0.6853708071278826,0.9217391304347826
1,0.3,0.01,0.2,balanced,1872,0.9583333333333334,0.09362279511533243,0.17058096415327564,0.6833529642716922,0.2714440825190011
2,0.3,0.01,0.2,balanced,1859,0.9452054794520548,0.09126984126984126,0.16646562123039807,0.6979516670974412,0.249728555917481
3,0.3,0.01,0.2,balanced,1883,0.958904109589041,0.0915032679738562,0.16706443914081145,0.6595535021969501,0.24212812160694897
4,0.3,0.01,0.2,balanced,1912,0.9305555555555556,0.08981233243967829,0.16381418092909536,0.6270964360587002,0.2565217391304348
5,0.3,0.01,0.2,balanced,1895,0.9861111111111112,0.09305373525557012,0.17005988023952096,0.6951159591194969,0.2467391304347826
1,0.3,0.01,0.2,"0:1.0,1:2.0",1872,0.06944444444444445,0.18518518518518517,0.10101010101010101,0.675206124852768,0.9033659066232356
2,0.3,0.01,0.2,"0:1.0,1:2.0",1859,0.0547945205479452,0.3076923076923077,0.09302325581395349,0.6948823985525976,0.9153094462540716
3,0.3,0.01,0.2,"0:1.0,1:2.0",1883,0.0410958904109589,0.16666666666666666,0.06593406593406594,0.6561773067976221,0.9077090119435396
4,0.3,0.01,0.2,"0:1.0,1:2.0",1912,0.05555555555555555,0.16666666666666666,0.08333333333333333,0.6300445492662474,0.9043478260869565
5,0.3,0.01,0.2,"0:1.0,1:2.0",1895,0.027777777777777776,0.14285714285714285,0.046511627906976744,0.6887120020964361,0.9108695652173913
1,0.3,0.01,0.2,"0:1.0,1:4.0",1872,0.4444444444444444,0.13008130081300814,0.20125786163522014,0.6823714173537495,0.7242128121606949
2,0.3,0.01,0.2,"0:1.0,1:4.0",1859,0.4931506849315068,0.13636363636363635,0.21364985163204747,0.6946723959679503,0.7122692725298588
3,0.3,0.01,0.2,"0:1.0,1:4.0",1883,0.410958904109589,0.12,0.18575851393188855,0.6577765572499353,0.7144408251900108
4,0.3,0.01,0.2,"0:1.0,1:4.0",1912,0.4027777777777778,0.10984848484848485,0.17261904761904762,0.6253275681341719,0.6978260869565217
5,0.3,0.01,0.2,"0:1.0,1:4.0",1895,0.4583333333333333,0.13360323886639677,0.20689655172413793,0.6921842243186583,0.725
1,0.3,0.01,0.2,"0:1.0,1:6.0",1872,0.75,0.11816192560175055,0.20415879017013233,0.6867065829079964,0.5428881650380022
2,0.3,0.01,0.2,"0:1.0,1:6.0",1859,0.821917808219178,0.13071895424836602,0.22556390977443608,0.6970955027138797,0.5526601520086862
3,0.3,0.01,0.2,"0:1.0,1:6.0",1883,0.726027397260274,0.11597374179431072,0.2,0.6590365727578185,0.5396308360477742
4,0.3,0.01,0.2,"0:1.0,1:6.0",1912,0.7083333333333334,0.10805084745762712,0.1875,0.6268998951781971,0.5195652173913043
5,0.3,0.01,0.2,"0:1.0,1:6.0",1895,0.8055555555555556,0.125,0.21641791044776118,0.6949194182389937,0.5434782608695652
1,0.3,0.01,0.5,none,1872,0.0,0.0,0.0,0.6662004318806439,0.9218241042345277
2,0.3,0.01,0.5,none,1859,0.0,0.0,0.0,0.6998578444042387,0.9207383279044516
3,0.3,0.01,0.5,none,1883,0.0,0.0,0.0,0.666322047040579,0.9207383279044516
4,0.3,0.01,0.5,none,1912,0.0,0.0,0.0,0.6282511137316562,0.9217391304347826
5,0.3,0.01,0.5,none,1895,0.0,0.0,0.0,0.6641443920335429,0.9217391304347826
1,0.3,0.01,0.5,balanced,1872,0.9861111111111112,0.09137709137709138,0.16725559481743227,0.6749934563538803,0.23235613463626492
2,0.3,0.01,0.5,balanced,1859,0.958904109589041,0.08793969849246232,0.1611047180667434,0.6959324114758336,0.20846905537459284
3,0.3,0.01,0.5,balanced,1883,1.0,0.09102244389027432,0.16685714285714287,0.6604096665805118,0.20846905537459284
4,0.3,0.01,0.5,balanced,1912,0.9583333333333334,0.08801020408163265,0.16121495327102803,0.6349416928721174,0.21956521739130436
5,0.3,0.01,0.5,balanced,1895,1.0,0.09079445145018916,0.16647398843930636,0.6925445492662474,0.21630434782608696
1,0.3,0.01,0.5,"0:1.0,1:2.0",1872,0.0,0.0,0.0,0.6740119094359377,0.9218241042345277
2,0.3,0.01,0.5,"0:1.0,1:2.0",1859,0.0,0.0,0.0,0.696578573274748,0.9207383279044516
3,0.3,0.01,0.5,"0:1.0,1:2.0",1883,0.0136986301369863,0.25,0.025974025974025976,0.6680343758077023,0.9185667752442996
4,0.3,0.01,0.5,"0:1.0,1:2.0",1912,0.013888888888888888,0.3333333333333333,0.02666666666666667,0.634352070230608,0.9206521739130434
5,0.3,0.01,0.5,"0:1.0,1:2.0",1895,0.0,0.0,0.0,0.6826519916142557,0.9217391304347826
1,0.3,0.01,0.5,"0:1.0,1:4.0",1872,0.4444444444444444,0.13278008298755187,0.20447284345047922,0.674469964664311,0.7296416938110749
2,0.3,0.01,0.5,"0:1.0,1:4.0",1859,0.5068493150684932,0.14979757085020243,0.23125,0.6951570173171361,0.7328990228013029
3,0.3,0.01,0.5,"0:1.0,1:4.0",1883,0.4246575342465753,0.12653061224489795,0.1949685534591195,0.6617827604032049,0.7220412595005429
4,0.3,0.01,0.5,"0:1.0,1:4.0",1912,0.4444444444444444,0.12598425196850394,0.19631901840490798,0.6357769916142558,0.7152173913043478
5,0.3,0.01,0.5,"0:1.0,1:4.0",1895,0.4444444444444444,0.1350210970464135,0.20711974110032363,0.6924299004192873,0.7336956521739131
