threshold,C,l1_ratio,class_weight,mean_recall,std_recall,mean_precision,std_precision,mean_f1,std_f1,mean_roc_auc,std_roc_auc,mean_accuracy,std_accuracy,balanced_score,is_best
0.3,0.01,0.5,balanced,0.9806697108066971,0.020914015353734352,0.08982877785832996,0.0017051737643162218,0.16458127949033058,0.003135781212291466,0.6717643553097181,0.025055817280641404,0.21703276212056838,0.009854235241758,0.4921562986411179,True
0.3,0.01,0.8,balanced,0.9861872146118721,0.01957521251952654,0.08704956814283774,0.0013708684300488732,0.1599772020264629,0.002545191911861197,0.6724597217778328,0.02282635442794972,0.18553108624840672,0.008933811901753833,0.49210480128145334,False
0.3,0.01,0.2,balanced,0.955821917808219,0.020520356782391537,0.09185239441085566,0.0015166285600760063,0.1675970171386203,0.0027768318392114434,0.6726141057488562,0.02960610630318859,0.2533123259217297,0.011403921068591276,0.4861317493796059,False
0.3,0.1,0.8,balanced,0.917123287671233,0.025991253598634866,0.09678599514668171,0.003213833686315421,0.17508790308538197,0.005622433242675559,0.6772204562495947,0.03131611530690473,0.32022022376433934,0.01369240840552769,0.4785495521093047,False
0.3,0.1,0.2,balanced,0.9060502283105023,0.045486248139782026,0.09767137522235855,0.0054893841647765075,0.17633215425961282,0.009791244690906826,0.6778916832448054,0.03185298197420778,0.33412524193929094,0.012167098075941754,0.47589428751260465,False
0.3,1.0,0.2,balanced,0.903234398782344,0.051164324698274546,0.09946286118515471,0.006577748037761288,0.17919026369091445,0.011664292456863682,0.6759079463850777,0.03200285764362597,0.3488969928716424,0.014260026564863682,0.47581519013073603,False
0.3,1.0,0.5,balanced,0.903234398782344,0.051164324698274546,0.0993680266011623,0.006508664451665438,0.17903683716390578,0.01155586710635392,0.6758091717783722,0.03214844279283313,0.3482455270735968,0.01370358172314903,0.4757333699316446,False
0.3,1.0,0.8,balanced,0.903234398782344,0.051164324698274546,0.09921242983622972,0.006411989621732064,0.178784344529541,0.01139801623087601,0.6756715878767023,0.03226306729457762,0.34715951470518813,0.013117685011465943,0.4756038308014864,False
0.3,0.1,0.5,balanced,0.9060502283105023,0.03601935356946621,0.09660728023102622,0.004359599874449473,0.1745931163169468,0.007723609523696652,0.6782603946173783,0.03200068308637383,0.3260860123684086,0.014029791457790923,0.4752672465536196,False
0.3,10.0,0.2,balanced,0.9004946727549467,0.0514715859628338,0.09931399808165323,0.006644711908415625,0.17889439367249255,0.011776336466389396,0.6754327709556589,0.03206430630264944,0.3495484586696879,0.014659214702096976,0.47478705395615217,False
