# Joint Sweep: C x l1_ratio x class_weight (5-fold Stratified CV)

```text
      C  l1_ratio class_weight  mean_recall  std_recall  mean_precision  std_precision  mean_f1  std_f1  mean_roc_auc  std_roc_auc  mean_accuracy  std_accuracy  balanced_score  is_best
 0.0100    0.5000     balanced       0.9807      0.0209          0.0898         0.0017   0.1646  0.0031        0.6718       0.0251         0.2170        0.0099          0.4922     True
 0.0100    0.8000     balanced       0.9862      0.0196          0.0870         0.0014   0.1600  0.0025        0.6725       0.0228         0.1855        0.0089          0.4921    False
 0.0100    0.2000     balanced       0.9558      0.0205          0.0919         0.0015   0.1676  0.0028        0.6726       0.0296         0.2533        0.0114          0.4861    False
 0.1000    0.8000     balanced       0.9171      0.0260          0.0968         0.0032   0.1751  0.0056        0.6772       0.0313         0.3202        0.0137          0.4785    False
 0.1000    0.2000     balanced       0.9061      0.0455          0.0977         0.0055   0.1763  0.0098        0.6779       0.0319         0.3341        0.0122          0.4759    False
 1.0000    0.2000     balanced       0.9032      0.0512          0.0995         0.0066   0.1792  0.0117        0.6759       0.0320         0.3489        0.0143          0.4758    False
 1.0000    0.5000     balanced       0.9032      0.0512          0.0994         0.0065   0.1790  0.0116        0.6758       0.0321         0.3482        0.0137          0.4757    False
 1.0000    0.8000     balanced       0.9032      0.0512          0.0992         0.0064   0.1788  0.0114        0.6757       0.0323         0.3472        0.0131          0.4756    False
 0.1000    0.5000     balanced       0.9061      0.0360          0.0966         0.0044   0.1746  0.0077        0.6783       0.0320         0.3261        0.0140          0.4753    False
10.0000    0.2000     balanced       0.9005      0.0515          0.0993         0.0066   0.1789  0.0118        0.6754       0.0321         0.3495        0.0147          0.4748    False
10.0000    0.5000     balanced       0.9005      0.0515          0.0993         0.0066   0.1789  0.0118        0.6754       0.0321         0.3495        0.0147          0.4748    False
10.0000    0.8000     balanced       0.9005      0.0515          0.0993         0.0066   0.1789  0.0118        0.6753       0.0321         0.3495        0.0147          0.4748    False
 0.0100    0.8000  0:1.0,1:6.0       0.7872      0.0461          0.1140         0.0073   0.1992  0.0126        0.6727       0.0228         0.5021        0.0110          0.4490    False
 0.0100    0.2000  0:1.0,1:6.0       0.7624      0.0495          0.1196         0.0087   0.2067  0.0148        0.6729       0.0299         0.5396        0.0122          0.4449    False
 0.0100    0.5000  0:1.0,1:6.0       0.7595      0.0540          0.1144         0.0092   0.1989  0.0157        0.6702       0.0259         0.5184        0.0152          0.4402    False
 0.1000    0.8000  0:1.0,1:6.0       0.7319      0.0456          0.1206         0.0109   0.2071  0.0178        0.6774       0.0320         0.5583        0.0211          0.4370    False
 1.0000    0.2000  0:1.0,1:6.0       0.7264      0.0379          0.1209         0.0092   0.2072  0.0150        0.6756       0.0324         0.5620        0.0227          0.4351    False
 1.0000    0.5000  0:1.0,1:6.0       0.7264      0.0379          0.1207         0.0089   0.2070  0.0144        0.6755       0.0324         0.5616        0.0219          0.4349    False
 1.0000    0.8000  0:1.0,1:6.0       0.7236      0.0412          0.1203         0.0091   0.2063  0.0148        0.6753       0.0326         0.5614        0.0223          0.4338    False
