threshold,fold,C,l1_ratio,class_weight,clipped_values,recall,precision,f1,roc_auc,accuracy
0.05,1,0.1,0.5,balanced,1872,1.0,0.0781758957654723,0.14501510574018128,0.6970455437769925,0.0781758957654723
0.05,2,0.1,0.5,balanced,1859,1.0,0.07934782608695652,0.1470292044310171,0.7080317911605065,0.08034744842562432
0.05,3,0.1,0.5,balanced,1883,1.0,0.07934782608695652,0.1470292044310171,0.6557411475833549,0.08034744842562432
0.05,4,0.1,0.5,balanced,1912,1.0,0.0784313725490196,0.14545454545454545,0.6335331498951782,0.08043478260869565
0.05,5,0.1,0.5,balanced,1895,1.0,0.07834602829162132,0.14530776992936428,0.6969503406708595,0.07934782608695652
0.1,1,0.1,0.5,balanced,1872,1.0,0.07947019867549669,0.147239263803681,0.6970455437769925,0.09446254071661238
0.1,2,0.1,0.5,balanced,1859,0.9863013698630136,0.07894736842105263,0.14619289340101524,0.7080317911605065,0.08686210640608034
0.1,3,0.1,0.5,balanced,1883,1.0,0.08039647577092511,0.1488277268093782,0.6557411475833549,0.09337676438653637
0.1,4,0.1,0.5,balanced,1912,1.0,0.08071748878923767,0.14937759336099585,0.6335331498951782,0.10869565217391304
0.1,5,0.1,0.5,balanced,1895,1.0,0.07920792079207921,0.14678899082568808,0.6969503406708595,0.09021739130434783
0.15,1,0.1,0.5,balanced,1872,1.0,0.08228571428571428,0.15205913410770855,0.6970455437769925,0.1281216069489685
0.15,2,0.1,0.5,balanced,1859,0.9863013698630136,0.08275862068965517,0.15270413573700956,0.7080317911605065,0.13246471226927253
0.15,3,0.1,0.5,balanced,1883,1.0,0.08276643990929705,0.15287958115183245,0.6557411475833549,0.12160694896851248
0.15,4,0.1,0.5,balanced,1912,0.9722222222222222,0.08120649651972157,0.14989293361884368,0.6335331498951782,0.13695652173913042
0.15,5,0.1,0.5,balanced,1895,1.0,0.08200455580865604,0.15157894736842106,0.6969503406708595,0.12391304347826088
0.2,1,0.1,0.5,balanced,1872,1.0,0.0876979293544458,0.1612541993281075,0.6970455437769925,0.18675352877307275
0.2,2,0.1,0.5,balanced,1859,0.9863013698630136,0.08780487804878048,0.1612541993281075,0.7080317911605065,0.18675352877307275
0.2,3,0.1,0.5,balanced,1883,0.9726027397260274,0.08574879227053141,0.15760266370699222,0.6557411475833549,0.1758957654723127
0.2,4,0.1,0.5,balanced,1912,0.9722222222222222,0.08547008547008547,0.15712682379349047,0.6335331498951782,0.18369565217391304
0.2,5,0.1,0.5,balanced,1895,1.0,0.08674698795180723,0.15964523281596452,0.6969503406708595,0.17608695652173914
0.25,1,0.1,0.5,balanced,1872,0.9722222222222222,0.09408602150537634,0.1715686274509804,0.6970455437769925,0.26601520086862107
0.25,2,0.1,0.5,balanced,1859,0.9726027397260274,0.09479305740987984,0.17274939172749393,0.7080317911605065,0.26167209554831705
0.25,3,0.1,0.5,balanced,1883,0.9452054794520548,0.09078947368421053,0.16566626650660263,0.6557411475833549,0.24538545059717698
0.25,4,0.1,0.5,balanced,1912,0.9583333333333334,0.09031413612565445,0.16507177033492823,0.6335331498951782,0.24130434782608695
0.25,5,0.1,0.5,balanced,1895,1.0,0.09411764705882353,0.17204301075268819,0.6969503406708595,0.2467391304347826
0.3,1,0.1,0.5,balanced,1872,0.9444444444444444,0.10134128166915052,0.18304172274562583,0.6970455437769925,0.34093376764386535
0.3,2,0.1,0.5,balanced,1859,0.9178082191780822,0.09970238095238096,0.17986577181208055,0.7080317911605065,0.33659066232356133
0.3,3,0.1,0.5,balanced,1883,0.9041095890410958,0.09720176730486009,0.17553191489361702,0.6557411475833549,0.3268186753528773
0.3,4,0.1,0.5,balanced,1912,0.8472222222222222,0.09037037037037036,0.16331994645247658,0.6335331498951782,0.32065217391304346
0.3,5,0.1,0.5,balanced,1895,0.9166666666666666,0.0944206008583691,0.17120622568093385,0.6969503406708595,0.30543478260869567
0.35,1,0.1,0.5,balanced,1872,0.9305555555555556,0.1135593220338983,0.20241691842900303,0.6970455437769925,0.42671009771986973
