# Threshold Sweep (Current Logistic Setup, 5-fold Stratified CV)

```text
 threshold  mean_recall  std_recall  mean_precision  std_precision  mean_f1  std_f1  mean_roc_auc  std_roc_auc  mean_accuracy  std_accuracy  balanced_score  is_best
    0.2000       0.9862      0.0138          0.0867         0.0011   0.1594  0.0020        0.6783       0.0320         0.1818        0.0055          0.4930     True
    0.2500       0.9697      0.0204          0.0928         0.0021   0.1694  0.0037        0.6783       0.0320         0.2522        0.0109          0.4921    False
    0.0500       1.0000      0.0000          0.0787         0.0006   0.1460  0.0010        0.6783       0.0320         0.0797        0.0010          0.4918    False
    0.1000       0.9973      0.0061          0.0797         0.0008   0.1477  0.0014        0.6783       0.0320         0.0947        0.0084          0.4917    False
    0.1500       0.9917      0.0124          0.0822         0.0006   0.1518  0.0012        0.6783       0.0320         0.1286        0.0062          0.4917    False
    0.3000       0.9061      0.0360          0.0966         0.0044   0.1746  0.0077        0.6783       0.0320         0.3261        0.0140          0.4753    False
    0.3500       0.8783      0.0498          0.1059         0.0075   0.1890  0.0131        0.6783       0.0320         0.4067        0.0158          0.4729    False
    0.4000       0.8231      0.0458          0.1146         0.0083   0.2012  0.0142        0.6783       0.0320         0.4855        0.0176          0.4615    False
    0.4500       0.7291      0.0388          0.1201         0.0089   0.2063  0.0147        0.6783       0.0320         0.5581        0.0175          0.4360    False
    0.5000       0.6353      0.0427          0.1278         0.0119   0.2127  0.0189        0.6783       0.0320         0.6294        0.0184          0.4114    False
    0.5500       0.5029      0.0486          0.1293         0.0158   0.2056  0.0238        0.6783       0.0320         0.6935        0.0195          0.3702    False
    0.6000       0.3896      0.0436          0.1352         0.0193   0.2006  0.0268        0.6783       0.0320         0.7549        0.0174          0.3365    False
    0.6500       0.2652      0.0358          0.1400         0.0243   0.1831  0.0289        0.6783       0.0320         0.8129        0.0147          0.2960    False
    0.7000       0.1796      0.0342          0.1657         0.0254   0.1721  0.0286        0.6783       0.0320         0.8647        0.0054          0.2740    False
    0.7500       0.1134      0.0436          0.2111         0.0622   0.1460  0.0491        0.6783       0.0320         0.8970        0.0072          0.2590    False
    0.8500       0.0138      0.0001          0.3000         0.1264   0.0263  0.0004        0.6783       0.0320         0.9194        0.0014          0.2214    False
    0.8000       0.0360      0.0159          0.1956         0.0822   0.0599  0.0248        0.6783       0.0320         0.9120        0.0043          0.2103    False
    0.9000       0.0000      0.0000          0.0000         0.0000   0.0000  0.0000        0.6783       0.0320         0.9214        0.0006          0.1357    False
    0.9500       0.0000      0.0000          0.0000         0.0000   0.0000  0.0000        0.6783       0.0320         0.9214        0.0006          0.1357    False
```
